heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,75,50,2,0.006790,1286,127,0.70
monotona,75,50,3,0.006220,1278,127,0.70
monotona,75,50,4,0.009494,1698,132,0.70
monotona,75,50,5,0.010076,1758,123,0.70
monotona,75,50,6,0.013901,2833,127,0.70
monotona,75,50,7,0.007457,1534,133,0.70
monotona,75,50,8,0.007771,1648,122,0.70
monotona,75,50,9,0.007772,1547,125,0.70
monotona,75,50,10,0.007482,1343,126,0.70
monotona,75,50,1,0.004939,1804,141,0.80
monotona,75,50,2,0.003315,1272,148,0.80
monotona,75,50,3,0.003880,1156,147,0.80
monotona,75,50,4,0.004788,1695,142,0.80
monotona,75,50,5,0.006309,2460,140,0.80
monotona,75,50,6,0.002996,1123,135,0.80
monotona,75,50,7,0.002877,1144,144,0.80
monotona,75,50,8,0.003171,1092,147,0.80
monotona,75,50,9,0.007241,2314,140,0.80
monotona,75,50,10,0.005237,1805,135,0.80
monotona,75,50,1,0.001626,1134,156,0.90
monotona,75,50,2,0.002980,2655,154,0.90
monotona,75,50,3,0.001793,1121,156,0.90
monotona,75,50,4,0.002853,1993,151,0.90
monotona,75,50,5,0.003921,2594,138,0.90
monotona,75,50,6,0.001642,1143,152,0.90
monotona,75,50,7,0.001661,1313,162,0.90
monotona,75,50,8,0.002766,2202,146,0.90
monotona,75,50,9,0.001882,1317,148,0.90
monotona,75,50,10,0.004227,3804,160,0.90
monotona,100,50,1,0.285062,4658,131,0.10
monotona,100,50,2,0.145205,2306,133,0.10
monotona,100,50,3,0.087205,1371,127,0.10
monotona,100,50,4,0.170422,2745,132,0.10
monotona,100,50,5,0.323555,4751,130,0.10
monotona,100,50,6,0.199407,3171,133,0.10
monotona,100,50,7,0.118186,1927,138,0.10
monotona,100,50,8,0.175358,2760,140,0.10
monotona,100,50,9,0.114604,1918,124,0.10
monotona,100,50,10,0.136691,2176,130,0.10
monotona,100,50,1,0.097160,1955,141,0.20
monotona,100,50,2,0.081595,1596,142,0.20
monotona,100,50,3,0.129926,2853,134,0.20
monotona,100,50,4,0.095212,2019,132,0.20
monotona,100,50,5,0.140745,2830,136,0.20
monotona,100,50,6,0.081132,1634,154,0.20
monotona,100,50,7,0.058299,1235,137,0.20
monotona,100,50,8,0.119369,2396,133,0.20
monotona,100,50,9,0.061817,1251,146,0.20
monotona,100,50,10,0.082750,1557,139,0.20
monotona,100,50,1,0.045101,1292,142,0.30
monotona,100,50,2,0.054371,1374,143,0.30
monotona,100,50,3,0.064244,1782,140,0.30
monotona,100,50,4,0.091217,2578,140,0.30
monotona,100,50,5,0.070942,1704,142,0.30
monotona,100,50,6,0.081582,2131,146,0.30
monotona,100,50,7,0.045950,1156,152,0.30
monotona,100,50,8,0.105448,2755,140,0.30
monotona,100,50,9,0.075020,2145,137,0.30
monotona,100,50,10,0.065187,1755,141,0.30
monotona,100,50,1,0.030767,1220,158,0.40
monotona,100,50,2,0.041970,1529,155,0.40
monotona,100,50,3,0.063176,2147,152,0.40
monotona,100,50,4,0.031988,1080,157,0.40
monotona,100,50,5,0.060010,2065,142,0.40
monotona,100,50,6,0.072237,2735,147,0.40
monotona,100,50,7,0.049313,1644,148,0.40
monotona,100,50,8,0.053071,1868,153,0.40
monotona,100,50,9,0.049993,1603,147,0.40
monotona,100,50,10,0.045825,1713,140,0.40
monotona,100,50,1,0.035763,1785,153,0.50
monotona,100,50,2,0.039060,2051,155,0.50
monotona,100,50,3,0.027636,1410,155,0.50
monotona,100,50,4,0.038413,1891,150,0.50
monotona,100,50,5,0.035067,1859,151,0.50
monotona,100,50,6,0.039930,1926,150,0.50
monotona,100,50,7,0.026431,1405,156,0.50
monotona,100,50,8,0.058151,2903,152,0.50
monotona,100,50,9,0.026100,1395,153,0.50
monotona,100,50,10,0.025608,1629,154,0.50
monotona,100,50,1,0.017768,1695,162,0.60
monotona,100,50,2,0.035505,3030,162,0.60
monotona,100,50,3,0.023621,1959,161,0.60
monotona,100,50,4,0.034147,2527,156,0.60
monotona,100,50,5,0.017853,1460,151,0.60
monotona,100,50,6,0.027179,2013,155,0.60
monotona,100,50,7,0.024908,2171,162,0.60
monotona,100,50,8,0.023540,2133,159,0.60
monotona,100,50,9,0.036482,2530,161,0.60
monotona,100,50,10,0.024591,1963,160,0.60
monotona,100,50,1,0.018733,2374,164,0.70
monotona,100,50,2,0.013800,1993,169,0.70
monotona,100,50,3,0.007892,1151,153,0.70
monotona,100,50,4,0.023178,2521,161,0.70
monotona,100,50,5,0.009021,1204,167,0.70
monotona,100,50,6,0.015195,2258,162,0.70
monotona,100,50,7,0.018637,2289,159,0.70
monotona,100,50,8,0.010164,1382,161,0.70
monotona,100,50,9,0.008022,1162,167,0.70
monotona,100,50,10,0.015824,2362,170,0.70
monotona,100,50,1,0.004416,1359,186,0.80
monotona,100,50,2,0.004909,1218,180,0.80
monotona,100,50,3,0.015664,2809,176,0.80
monotona,100,50,4,0.018360,3761,166,0.80
monotona,100,50,5,0.008298,2048,172,0.80
monotona,100,50,6,0.008561,2067,182,0.80
monotona,100,50,7,0.004830,1168,183,0.80
monotona,100,50,8,0.007598,1986,160,0.80
monotona,100,50,9,0.008854,2180,174,0.80
monotona,100,50,10,0.011843,2782,176,0.80
monotona,100,50,1,0.003489,2276,195,0.90
monotona,100,50,2,0.002343,1255,191,0.90
monotona,100,50,3,0.003663,1879,187,0.90
monotona,100,50,4,0.003451,1896,202,0.90
monotona,100,50,5,0.002375,1304,191,0.90
monotona,100,50,6,0.004783,2488,189,0.90
monotona,100,50,7,0.002806,1351,204,0.90
monotona,100,50,8,0.004032,2023,183,0.90
monotona,100,50,9,0.002560,1818,200,0.90
monotona,100,50,10,0.002406,1523,195,0.90
tempera_simulada,15,10,1,0.000195,1682,101,0.80
tempera_simulada,15,10,2,0.000183,1742,99,0.80
tempera_simulada,15,10,3,0.000151,1392,101,0.80
tempera_simulada,15,10,4,0.000148,1323,99,0.80
tempera_simulada,15,10,5,0.000197,1517,103,0.80
tempera_simulada,15,10,6,0.000257,1933,99,0.80
tempera_simulada,15,10,7,0.000172,1614,99,0.80
